Story Id,Story Name,Marked on Panel,RERA Number,
726,Evershine Northeast Apartments - Hosa Road,None,PRM/KA/RERA/1251/308/PR/220210/004690,
1126,Excellencee - Moshi,None,P52100026856,
16,Exquisite,None,P52100000298,
16,Exquisite,None,P52100001266,
56,Felicity Pune,None,P52100022300,
415,Fenkin9 - Thane,None,P51700028367,
1048,Flowing Tree - Yelahanka,None,PRM/KA/RERA/1251/472/PR/181122/002177,
781,Folium By Sumadhura - East Bengaluru,None,PRM/KA/RERA/1251/446/PR/280222/004738,
810,Fortuna Blue - Lower Parel West,None,P51900018299,
883,Fortune Star - Byculla West,None,P51800031620,
957,Fusion 4 Pearl - Yelahanka New Town,None,PRM/KA/RERA/1251/472/PR/201029/003677,
22,Gagan Klara,None,P52100019739,
436,Gajanan Icon - Kalyan East,None,P51700022542,
369,Gala - Malad East		,None,P51800029415,
433,Galaxy - Ravet,None,P52100025203,
1173,Gallexie 91 - Sector 91,None,382 OF 2017,
212,Gami Industrail Park - Pawane Navi Mumbai,None,P51700027441,
194,Gami Viona - Kharghar,None,P52000018674,
53,Ganga Platino,None,P52100031418,
384,Ganraj Skydale - Mohammadwadi,None,P52100028527,
636,Garden Avenue - K - Virar West,None,P99000004018,
636,Garden Avenue - K - Virar West,None,P99000007110,
1056,GeeCee PROXIMUS - Chembur ,None,P51800027318,
55,Gera's World Of Joy,None,P52100022499,
55,Gera's World Of Joy,None,P52100022522,
55,Gera's World Of Joy,None,P52100022530,
55,Gera's World Of Joy,None,P52100022598,
1062,Ghatkopar Ashish CHSL - Ghatkopar,None,P51800033742,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800024674,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800025071,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800027588,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800027659,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800027826,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800027922,
96,Ghatkoper Avenue - Ghatkopar East,None,P51800029288,
1076,GlenONE - Boisar East ,None,P99000026467,
1015,Global Celesta - Chandapura,None,PRM/KA/RERA/1251/308/PR/210409/004120,
929,Global City 81 - Sector 81,None,RERA-GRG-PROJ-880-2021,
582,Glory - Parel ,None,P51900003605,
822,GMC One - Off Mysore Road,None,PRM/KA/RERA/1251/310/PR/190913/002848,
52,Godrej Exquisite - Thane,None,P51700024496,
39,Godrej Forest Grove,None,P52100023129,
21,Godrej Hillside,None,P52100022099,
21,Godrej Hillside,None,P52100022153,
17,Godrej Nurture,None,P52100020686,
17,Godrej Nurture,None,PRM/KA/RERA/1251/308/PR/191220/003093,
45,Godrej Platinum,None,P51800013802,
379,Godrej Riviera - Kalyan,None,P51700032552,
66,Godrej RKS ,None,P51800023915,
54,Goel Ganga Serio,None,P52100023713,
54,Goel Ganga Serio,None,P52100029757,
249,GOKUL II - Panvel,None,P52000008673,
319,Golden Heights @ SMGK Urbana - Jogeshwari West,None,P51800010146,
364,Golden Winds - Lohegaon,None,P52100003838,
364,Golden Winds - Lohegaon,None,P52100027754,
1128,Gomati IRIS - Hosur Road ,None,PRM/KA/RERA/1251/PR/171125/000624,
947,Goodwill Breeza - Dhanori,None,P52100020307,
944,Goodwill Crescent - Keshav Nagar,None,P52100022861,
779,Goyal Amrut - Borivali West,None,P51800031359,
761,Gr Samskruthi - Sarjapura,None,PRM/KA/RERA/1251/308/PR/20215/003745,
296,Grace Squre - Mumbra,None,P51700008389,
296,Grace Squre - Mumbra,None,P51700016191,
296,Grace Squre - Mumbra,None,P51700022357,
1023,Gran Icon Phase 2 - Bengaluru ,None,PRM/KA/RERA/1251/308/PR/211215/004584,
1024,Grand Icon Phase 2 - Electronic City Bengaluru,None,PRM/KA/RERA/1251/308/PR/211215/004584,
849,Grand Vista - Dombivali East,None,P51700015042,
959,GRC Subhiksha - Hosa Road,None,PRM/KA/RERA/1251/308/PR/180504/001615,
166,GRD Infraprojects Pvt Ltd,None,P52100026904,
510,Green Republic - Wagholi,None,P52100009638,
986,Green Willows - Shahapur,None,P51700012824,
986,Green Willows - Shahapur,None,P51700012825,
821,Grevillea - H Cross,None,PRM/KA/RERA/1254/465/PR/201215/003753,
113,Grishma Heights - Kandivali West,None,P518000012108,
391,Growmore Bliss - A Wing - Malad West,None,P51800029432,
995,Gulab Shilp - Atulnagar Warje ,None,P52100032862,
996,Gulab Srushti - Kothrud,None,P52100031652,
662,Gulmohar - Ambernath East,None,P51700033537,
973,Guptari Galaxy City - Neral,None,P52000016109,
583,Guru Atman - Kalyan West,None,P51700020725,
776,Gurukrupa Ekatvam - Vikhroli,None,P51900033873,
349,Gurukrupa Ghanshyam - Ghatkopar East,None,P51900030149,
348,Gurukrupa Vyom - Juhu,None,P51900031575,
372,Happy Home - Taloja,None,P52000021393,
603,Happy Homes - Rasayani,None,P52000021393,
410,Hari Tara Heights - Dadar West,None,P51900014699,
92,Haware Altura,None,P51800029411,
600,Haware IPSA - Ghatkopar East,None,P51800019601,
531,Haware Meadows - Neral,None,P52000015126,
814,Hebron Avenue - Ramamurthy Nagar,None,PRM/KA/RERA/1251/446/PR/180523/001806,
86,Hello Epic,None,P51900026182,
801,Heriitage Signature - Shanti Nagar,None,PRM/KA/RERA/1251/446/AG/180521/000913,
941,Heritage Urbanpod - Sarjapur Road,None,PRM/KA/RERA/1251/310/PR/090222/004679,
920,Hermes Paras 3 - Kalyani Nagar,None,P52100025287,
757,High Cliff - Panathuru ,None,PRM/KA/RERA/1251/446/PR/171031/001436,
698,Hillcrest - Andheri East,None,P51800000493,
698,Hillcrest - Andheri East,None,P51800000508,
698,Hillcrest - Andheri East,None,P51800002556,
1032,Hive 67 - Kandivali West ,None,P51800022327,
356,Honeydew Shopping Plaza - Mulshi,None,P52100031170,
736,Horizon - Moshi,None,P52100031742,
1132,House of Hiranandani Castalia - Kandivali West,None,P51800031613,
485,I towers Exente - Hosur Road,None,PRM/KA/RERA/1251/310/PR171026/000862,
1033,Icon - Kandivali West ,None,P51800022327,
581,Icon 51 - Vadgaonsheri,None,P52100026645,
733,IFB Eastwood - Hoskote,None,PRN/KA/RERA/1250/304/PR/200219/003291,
481,Indiabulls Golf City - Khopoli,None,P52000001481,
481,Indiabulls Golf City - Khopoli,None,P52000001567,
481,Indiabulls Golf City - Khopoli,None,P52000002846,
567,Infinity cube - Punawale,None,P52100029887,
566,Infinity world - Punawale,None,P52100021151,
116,Insignia,None,P51800028166,
639,Ira Insignia - Dombivali East,None,P51700031409,
1171,IRIS Broadway -  New Gurugram Sector,None,168 OF 2017,
1117,Ishtika Vashishta - J P Nagar,None,ACK/KARERA/1251/310/PR/240522/005987,
449,Ivy Marvel - Vile Parle East,None,P51800006856,
419,JADE - Chembur West,None,P51800026869,
151,Jade Residences - Baner,None,P52100000926,
63,Jade the central life,None,P51800026869,
922,Jagdale Avesa - Thane West,None,P51700030171,
259,JEWEL CREST - Matunga West,None,P51900003955,
882,Jewel Heights - Badlapur West,None,P51700016400,
1064,Jewels Royale - Koregoan,None,P521000002343,
239,Joyville  - Virar West,None,P51900000444,
239,Joyville  - Virar West,None,P99000013612,
239,Joyville  - Virar West,None,P99000018521,
239,Joyville  - Virar West,None,P99000019531,
674,Joyville - Hadapsar Annexe ,None,P52100031391,
674,Joyville - Hadapsar Annexe ,None,P52100031515,
678,JR Garden Retreat - Marsur,None,PRM/KA/RERA/1251/308/PR/191213/000414,
679,JR Urbania - Chandapura Anekal,None,PRM/KA/RERA/1251/308/PR/171115/000275,
1127,JVM Accord - Thane West,None,P51700029725,
425,K R Heights - Bhiwandi,None,P5100010068,
310,K Ville - Kiwale,None,P52100026606,
310,K Ville - Kiwale,None,P52100031164,
310,K Ville - Kiwale,None,P522100020646,
353,Kaatyayni Heights - Andheri East,None,P518000020411,
694,Kailash Homes - Kalyan West,None,P51700020561,
660,Kailash Parvat - Ambernath East				,None,P51700023076,
1095,Kairali Park - Kalyan East,None,P51700026352,
58,Kairosa,None,P52100021921,
706,Kakkad Madhukosh - Balewadi,None,P52100019179,
601,Kalash Trove - Aundh,None,P52100031289,
173,Kalpataru Estate - Pimple Gurav - Pune,None,P52100017535,
170,Kalpataru Exquisite - Wakad - Pune,None,P52100000298,
170,Kalpataru Exquisite - Wakad - Pune,None,P52100001266,
157,Kalpataru Serenity - Manjri - Pune,None,P52100001267,
73,Kanakia Paris,None,P51800000122,
57,Kanakia Paris,None,P51800000122,
935,Kanakia Paris - BKC,None,P51800000122,
1185,Kanakia Wall Street - Andheri East ,None,P51800000121,
322,Kaneri Heights - Naigaon East,None,P99000031728,
692,Kesar High Street - Moshi		,None,P52100029284,
411,Kinara - Juhu,None,P51800029182,
351,King's Court at The Residences,None,P51700010368,
474,Kipl Morya -Thane West,None,P51900010004,
895,KLSR Elite Thunga - Yelanhanka,None,PRM/KA/RERA/1251/309/PR/171229/001916,
988,KNS Fresco - Doddaballapur Road,None,PRM/KA/RERA/1250/301/PR/210813/004271,
987,KNS OASIS - Sarjapur Road,None,PRM/KA/RERA/1251/308/PR/171026/000586,
961,Kohinoor Coral - Hinjewadi,None,P52100021279,
482,Kohinoor Eden - Kalyan East,None,P51700030888,
576,Kohinoor Prime - Shahad West,None,P51700032822,
235,Kohinoor Waves,None,P51700009303,
285,Kohinoor World Tower - Pimpri,None,P52100028796,
484,Kolte Patil Raaga Ph2 - Hennue Road ,None,PRM/KA/RERA/1251/446/PR/17014/000856,
347,Konark Meadows - Kalyan West,None,P51700009313,
992,Konnark Oasis - Panvel,None,P52000031755,
722,Konnected - Nahur East,None,P51800004044,
775,KPS Park - Panvel,None,P52000020029,
469,Krishna Palace - Borivali West,None,P51800002538,
809,Krishna Residency - Khopoli,None,P52000000007,
446,Krushna Kunj - Taloja,None,P51700031250,
539,Kumar Palaash - Wadgaonsheri,None,P52100028014,
538,Kumar Palmcrest - Pisoli,None,P52100022295,
535,Kumar Papillon - Pashan,None,P51000009638,
537,Kumar Pebble Park - Hadapsar,None,P52100020421/P52100031349/P52100026151,
536,Kumar Samruddhi - Vishrantwadi,None,P52100030526,
1058,L M Tower - Bhiwandi,None,P51700027947,
36,L&T Rejuve 360,None,P51800023075,
893,L. K. Damayanti - Taloja,None,P52000016058,
812,LA Grandeur - Dombivali East,None,P51700034532,
923,Laaman Industrial Park  - Thane,None,P51700032501,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019661,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019679,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019683,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019710,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019728,
529,Labdhi Gardens Phase 6-11 - Neral,None,P52000019815,
888,Lake Waters - Varthur,None,PRM/KA/RERA/1250/304/PR/250322/004782,
