Anant Chhaya Developers,1326,27ABLFA8522B1ZM,ABLFA8522B,"701A, Sanjar Enclave,, Opp. PVR Milap Cinema,, SV Road, Kandivali West,, Mumbai - 67.","701A, Sanjar Enclave,, Opp. PVR Milap Cinema,, SV Road, Kandivali West,, Mumbai - 67.",998314,Maharashtra
Patkar Realty,1061,27AAZFP7979C1ZA,AAZFP7979C,"Office No 01, 1St Floor, Prerna Apartment,, Khemani Road, Above Canara Bank, Ulhasnagar, Thane, Maharashtra, 421002","Office No 01, 1St Floor, Prerna Apartment,, Khemani Road, Above Canara Bank, Ulhasnagar, Thane, Maharashtra, 421002",998314,Maharashtra
Chaudhary Bhoop Singh Developers LLP,1408,06AALFC6000H2ZS,AALFC6000H,"H. No. 748, Sector- 39, Near Cyber Park, Gurgaon, Gurgaon, Gurugram, Haryana, 122001","H. No. 748, Sector- 39, Near Cyber Park, Gurgaon, Gurgaon, Gurugram, Haryana, 122001",998314,Haryana
Moongipa Realty Private Limited,1369,27AAICA9030H1ZO,AAICA9030H,"203/204, Raigad Darshan, J P Road,, Opp Indian Oil Colony, Andheri West, Mumbai, Maharashtra, 400053","203/204, Raigad Darshan, J P Road,, Opp Indian Oil Colony, Andheri West, Mumbai, Maharashtra, 400053",998314,Maharashtra
Badhekar Properties,1318,27AATFB0231F1ZP,AATFB0231F,"Office No. 303, 3Rd Floor, Mayur- 11, Near Karve Statute,, Kothrud, Pune,, Pune, Maharashtra, 411038","Office No. 303, 3Rd Floor, Mayur- 11, Near Karve Statute,, Kothrud, Pune,, Pune, Maharashtra, 411038",998314,Maharashtra
Sambhav Shelters,1314,27ABGFS8321M1ZP,ABGFS8321M,"V 55, Dr. E Moses Road, Worli,, Mumbai, Maharashtra, 400018","V 55, Dr. E Moses Road, Worli,, Mumbai, Maharashtra, 400018",998314,Maharashtra
Redbricks,1303,27APKPT9164K1ZZ,APKPT9164K,"C-5, 2Nd Floor, Sargam Apartment, Mahakali Chowk,, Navi Mumbai, Thane, Maharashtra,, 400614.","C-5, 2Nd Floor, Sargam Apartment, Mahakali Chowk,, Navi Mumbai, Thane, Maharashtra,, 400614.",998314,Maharashtra
Purva Properties,1085,27BBXPS3263A1ZC,BBXPS3263A,"Office No-16, 1St Floor, Omkar Arcade,, Plot No-24, Sector-15/A, Raigad,, Maharashtra, 410206","Office No-16, 1St Floor, Omkar Arcade,, Plot No-24, Sector-15/A, Raigad,, Maharashtra, 410206",998314,Maharashtra
Top Haven Developers Pvt Ltd,1176,06AAICT2574M1ZV,AAICT2574M,"C -1-2797A, Sushant Lok -1,, Gurgaon, Haryana,, 122002.","C -1-2797A, Sushant Lok -1,, Gurgaon, Haryana,, 122002.",998314,Haryana
Bora Realty LLP,1291,27AAPFB0932P1Z0,AAPFB0932P,"Survey No. 52/1A 53/2A, Plot No.1,, Katraj, Pune - 411046.","Survey No. 52/1A 53/2A, Plot No.1,, Katraj, Pune - 411046.",998314,Maharashtra
Brightera Builders,1191,27AALFB7837R1ZI,AALFB7837R,"Gat No 144(Part), Dhore wasti,, Wagholi-kesnand Road ,Kesnand Village,, Pune 412207.","Gat No 144(Part), Dhore wasti,, Wagholi-kesnand Road ,Kesnand Village,, Pune 412207.",998314,Maharashtra
