Story Transaction Id,Top Up Dropdown,Edited Remarks
2082,First Wallet Recharge,
2081,Others,Recharged based on approval
2080,First Wallet Recharge,
2079,Others,Recharged based on approval
2078,First Wallet Recharge,
2077,First Wallet Recharge,
2076,First Wallet Recharge,
2075,First Wallet Recharge,
2074,First Wallet Recharge,
2073,Others,Recharged based on approval
2072,First Wallet Recharge,
2071,First Wallet Recharge,
2070,First Wallet Recharge,
2069,First Wallet Recharge,
2068,Others,Recharged based on approval
2067,First Wallet Recharge,
2066,Others,Recharged based on approval
2065,First Wallet Recharge,
2064,First Wallet Recharge,
2063,Others,Recharged based on approval
2062,Others,Recharged based on approval
2061,First Wallet Recharge,
2060,First Wallet Recharge,
2059,Others,Recharged based on approval
2058,First Wallet Recharge,
2057,Others,Recharged based on approval
2056,First Wallet Recharge,
2055,First Wallet Recharge,
2054,Others,Recharged based on approval
2053,First Wallet Recharge,
2052,Others,Recharged based on approval
2051,First Wallet Recharge,
2050,Others,Recharged based on approval
2049,First Wallet Recharge,
2048,First Wallet Recharge,
2047,Others,Recharged based on approval
2046,First Wallet Recharge,
2045,Others,Recharged based on approval
2044,First Wallet Recharge,
2043,Others,Recharged based on approval
2042,First Wallet Recharge,
2041,Others,Recharged based on approval
2040,First Wallet Recharge,
2039,First Wallet Recharge,
2038,Others,Recharged based on approval
2037,First Wallet Recharge,
2036,Others,Recharged based on approval
2035,First Wallet Recharge,
2034,Others,Recharged based on approval
2033,First Wallet Recharge,
2032,Others,Recharged based on approval
2031,First Wallet Recharge,
2030,Others,Recharged based on approval
2029,First Wallet Recharge,
2028,First Wallet Recharge,
2027,First Wallet Recharge,
2026,First Wallet Recharge,
2025,First Wallet Recharge,
2024,First Wallet Recharge,
2023,Others,Recharged based on approval
2022,Others,Recharged based on approval
2021,First Wallet Recharge,
2020,Others,Recharged based on approval
2019,First Wallet Recharge,
2018,Others,Recharged based on approval
2017,First Wallet Recharge,
2016,Others,Recharged based on approval
2015,First Wallet Recharge,
2014,Others,Recharged based on approval
2013,First Wallet Recharge,
2012,Others,Recharged based on approval
2011,First Wallet Recharge,
2010,Others,Recharged based on approval
2009,First Wallet Recharge,
2008,Others,Recharged based on approval
2007,First Wallet Recharge,
2006,First Wallet Recharge,
2005,Others,Recharged based on approval
