277598,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
277499,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
277224,2022-08-21 0:00:00,Rejected by CM,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
277214,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
277193,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
277187,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
276986,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
276545,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
276535,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
276488,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
275892,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
275555,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
275147,2022-08-21 0:00:00,Approved by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
275059,2022-08-21 0:00:00,Rejected by Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
274871,2022-08-21 0:00:00,Pending with Developer,Passcode Highway Next - Vikhroli East,Azzulo Group/ Aditya raj Group ,2000,300,1
