id,uuid,name,developer_name,city,published,sv_rewards_enabled,created_at,Youtube Link,
,d9d2315c-830e-11ec-a7d5-139b2829db5f,Ganga Fernhill - Undri,Goel Ganga Developments,Pune,TRUE,Inactive,1 Feb 2022,,
,1afb0130-8455-11ec-a8c5-63c36b15e505,Vasathi Avante - Mesthri Palya,Vasathi Housing Limited,Bengaluru,TRUE,Active,2 Feb 2022,,
,7203bcd6-8452-11ec-9133-a3447077c1db,Moksh Spa Residences - Yelahanka,Gokaldas Lifestyle,Bengaluru,TRUE,Active,2 Feb 2022,https://youtu.be/xf7f4wbXzoA,
,ee2231d2-8450-11ec-8a85-27b29c3bf682,Sosar Solitaire - Khar West,Sosar Enterprises,Mumbai,TRUE,Active,2 Feb 2022,,
,5b93e91e-848c-11ec-8c05-a3f99d05cea1,Kutumb - Amegaon Budruk,Chandrangan Buildcon & Laxmi Developers,Pune,TRUE,Active,3 Feb 2022,,
,d707ba6e-848a-11ec-a1db-6b94a1670ef8,Sukhwani Hermosa Casa - Mundhwa East,Sukhwani Associates,Pune,TRUE,Active,3 Feb 2022,,
,82108d16-8489-11ec-a403-8b1b410b3748,Kinara - Juhu,Options Infra Pvt Ltd,Mumbai,TRUE,Active,3 Feb 2022,,
,cd5a1efe-8457-11ec-902c-0bdebe5c594f,Hari Tara Heights - Dadar West,Ramdev Construction,Mumbai,TRUE,Active,3 Feb 2022,,
,c3f431b0-85ce-11ec-9f75-dbf76eb8a616,JADE - Chembur West,STG Realty,Mumbai,TRUE,Active,4 Feb 2022,,
,61726e5a-85cc-11ec-9f6d-2faa1c5784aa,Parmar Platinum - Santacruz East			,Parmar Group of companies,Mumbai,TRUE,Active,4 Feb 2022,,
,84367818-85c8-11ec-8a1f-6f8bdd72fccc,Plan M Business Park - Turbhe,Vishwa Green,Mumbai,TRUE,Inactive,4 Feb 2022,,
,077aa2aa-868f-11ec-94e8-c3797b9df5c6,Optima Heights - Keshanand,Avnee landmarks,Pune,TRUE,Active,5 Feb 2022,,
,250551aa-8683-11ec-8736-23f77de4f31f,V-Uptown - Kiwale,Tatvam Constructions				,Pune,TRUE,Inactive,5 Feb 2022,https://youtu.be/B1jxBawj9pM,
,ec99cb64-88b9-11ec-aca6-572e1f1790d9,K R Heights - Bhiwandi,Shakti Group,Mumbai,TRUE,Active,8 Feb 2022,,
,221f057e-899b-11ec-9eb4-0f8fc545d18d,Mantri Serenity - Kanakapura Main Road,Castle Vista Pvt Ltd,Bengaluru,TRUE,Active,9 Feb 2022,,
,75b97800-897c-11ec-9f45-47053c097e93,Level- The Residences - Andheri West,Level- The Residences,Mumbai,TRUE,Inactive,9 Feb 2022,,
,c2e1c46c-8a4d-11ec-bfb7-2b4b7e2ce21d,Opulent Sheetal Square - Kondhwa,Opulent Estate,Pune,TRUE,Inactive,10 Feb 2022,,
,311fe95c-8a46-11ec-b11e-7bedd6c1da29,Upper East 97 - Malad East,Prima terra buildtech,Mumbai,TRUE,Active,10 Feb 2022,,
,295cf782-8b36-11ec-9302-9b75eef3735a,Astrum - Malad East,Dynamix ,Mumbai,TRUE,Active,11 Feb 2022,https://youtu.be/DnI47hj6B7Y,
,0ecd3ff6-8b2e-11ec-bdfe-5bffb0fcc44d,Siyara Elite - Kalyan Bhiwandi Road		,Shakti Group,Mumbai,TRUE,Inactive,11 Feb 2022,,
