1,Mayfair Housing Pvt Ltd,Mayfair Housing Pvt Ltd,"1, Mayfair Meridian, Ceaser Road,Near St.Blaise Church, Amboli, Andheri West, Mumbai Suburban, Maharashtra, 400058","1, Mayfair Meridian, Ceaser Road,Near St.Blaise Church, Amboli, Andheri West, Mumbai Suburban, Maharashtra, 400058",27AAACM5158N1Z2,AAACM5158N,997159,Maharashtra,27
2,Pabal Housing Pvt Ltd,Pabal Housing Pvt Ltd,"1ST Floor, A Wing, Poonam Avenue, Global City, Virar West-401303","1ST Floor, A Wing, Poonam Avenue, Global City, Virar West-401303",27AABCP9574G1Z1,AABCP9574G,997159,Maharashtra,27
3,Ekdanta Constructions & Developers Pvt Ltd,Ekdanta Constructions & Developers Pvt Ltd,"Puraniks one, Kanchan Pushp Ghodbunder Road, Kavesar Thane (W) - 400615","Puraniks one, Kanchan Pushp Ghodbunder Road, Kavesar Thane (W) - 400615",27AACCE0359H1ZS,AACCE0359H,997159,Maharashtra,27
4,Fortune Infracreators Pvt Ltd,Fortune Infracreators Pvt Ltd,"Puraniks one, Kanchan Pushp Ghodbunder Road, Kavesar Thane (W) - 400615","Puraniks one, Kanchan Pushp Ghodbunder Road, Kavesar Thane (W) - 400615",27AACCF1078N1ZC,AACCF1078N,997159,Maharashtra,27
5,Akshar Developers,Akshar Developers,"O Wing, Ground Floor, Akshar Business Park, Sector 25, Near APMC, Vashi, Navi Mumbai - 400706","O Wing, Ground Floor, Akshar Business Park, Sector 25, Near APMC, Vashi, Navi Mumbai - 400706",29AACCH9352H1ZA,AACCH9352H,997159,Maharashtra,27
6,Madoc Speces Llp,Madoc Speces Llp,"Mrida Homes Hasha Heights,Near Railway fatak,Narangi, Virar East, 401305","Mrida Homes Hasha Heights,Near Railway fatak,Narangi, Virar East, 401305",27ABPFM2525CIZD,ABPFM2525C,997159,Maharashtra,27
7,Sm hitech developers,Sm hitech developers,"sec.16,Plot no 08,sm enclave taloja phase 2","sec.16,Plot no 08,sm enclave taloja phase 2",27AEJFS0969R1Z0,AEJFS0969R,997159,Maharashtra,27
