Story_transaction_id,Story Id,Top Up Amount,Done By,Top Up Date,Story Name,Remarks,rid
880,966,100000,Vaibhav Shinde,2022-06-02 0:00:00,Fortune Kosmos - OFF Sarjapur Road,First Wallet Recharge,1
2831,965,8100,Abigale Cardoz ,2022-09-06 0:00:00,Radiance Blossom - Whitefield,Others - Based on Approval,4
2327,965,-13300,Vaibhav Shinde,2022-08-22 0:00:00,Radiance Blossom - Whitefield,Others - Adjustment,3
1980,965,19000,Abigale Cardoz ,2022-08-04 0:00:00,Radiance Blossom - Whitefield,Others - Based on Approval,2
871,965,100000,Vaibhav Shinde,2022-06-02 0:00:00,Radiance Blossom - Whitefield,First Wallet Recharge,1
2984,964,4000,Abigale Cardoz ,2022-09-06 0:00:00,Success Windsor Tower -  Pradhikaran,Others - Based on Approval,2
865,964,100000,Vaibhav Shinde,2022-06-02 0:00:00,Success Windsor Tower -  Pradhikaran,First Wallet Recharge,1
860,963,150000,Vaibhav Shinde,2022-06-01 0:00:00,Dotom Isle - Malad West,First Wallet Recharge,1
1893,962,24000,Abigale Cardoz ,2022-08-03 0:00:00,Millennium Atlas - Tathawade,Others - Based on Approval,2
858,962,250000,Vaibhav Shinde,2022-06-01 0:00:00,Millennium Atlas - Tathawade,First Wallet Recharge,1
2671,961,7300,Abigale Cardoz ,2022-09-05 0:00:00,Kohinoor Coral - Hinjewadi,Others - Based on Approval,3
1593,961,47600,Vaibhav Shinde,2022-07-31 0:00:00,Kohinoor Coral - Hinjewadi,Top up By Developer - Adjustment for story plan amount,2
873,961,86800,Vaibhav Shinde,2022-06-02 0:00:00,Kohinoor Coral - Hinjewadi,First Wallet Recharge,1
2713,960,3300,Abigale Cardoz ,2022-09-05 0:00:00,Mannat Towers - Kondhwa,Others - Based on Approval,3
1879,960,1500,Abigale Cardoz ,2022-08-03 0:00:00,Mannat Towers - Kondhwa,Others - Based on Approval,2
859,960,100000,Vaibhav Shinde,2022-06-01 0:00:00,Mannat Towers - Kondhwa,First Wallet Recharge,1
2613,959,3900,Abigale Cardoz ,2022-09-04 0:00:00,GRC Subhiksha - Hosa Road,Others - Based on Approval,4
2321,959,-6300,Vaibhav Shinde,2022-08-22 0:00:00,GRC Subhiksha - Hosa Road,Others - Adjustment,3
1784,959,9000,Abigale Cardoz ,2022-08-03 0:00:00,GRC Subhiksha - Hosa Road,Others - Based on Approval,2
856,959,50000,Vaibhav Shinde,2022-05-31 0:00:00,GRC Subhiksha - Hosa Road,First Wallet Recharge,1
2964,958,600,Abigale Cardoz ,2022-09-06 0:00:00,Smart World Orchard - Sector 61,Others - Based on Approval,3
2398,958,15000,Vaibhav Shinde,2022-08-30 0:00:00,Smart World Orchard - Sector 61,Top-up From Developer - Advance top up based on approval,2
1576,958,50000,Abigale Cardoz ,2022-07-29 0:00:00,Smart World Orchard - Sector 61,First Wallet Recharge,1
2587,957,300,Abigale Cardoz ,2022-09-04 0:00:00,Fusion 4 Pearl - Yelahanka New Town,Others - Based on Approval,3
1764,957,600,Abigale Cardoz ,2022-08-03 0:00:00,Fusion 4 Pearl - Yelahanka New Town,Others - Based on Approval,2
855,957,50000,Vaibhav Shinde,2022-05-31 0:00:00,Fusion 4 Pearl - Yelahanka New Town,First Wallet Recharge,1
1128,956,9300,Vaibhav Shinde,2022-06-26 0:00:00,Swarn Jeevan - Taloja,Others - Based on Approval,2
854,956,30000,Vaibhav Shinde,2022-05-31 0:00:00,Swarn Jeevan - Taloja,First Wallet Recharge,1
2017,955,6000,Abigale Cardoz ,2022-08-04 0:00:00,Saideep Hulas - K.R.Puram,Others - Based on Approval,2
853,955,30000,Vaibhav Shinde,2022-05-31 0:00:00,Saideep Hulas - K.R.Puram,First Wallet Recharge,1
2928,954,10500,Abigale Cardoz ,2022-09-06 0:00:00,Veer Sidhanak - Kurla East,Others - Based on Approval,4
2152,954,8400,Abigale Cardoz ,2022-08-04 0:00:00,Veer Sidhanak - Kurla East,Others - Based on Approval,3
1134,954,2400,Vaibhav Shinde,2022-06-26 0:00:00,Veer Sidhanak - Kurla East,Others - Based on Approval,2
852,954,50000,Vaibhav Shinde,2022-05-31 0:00:00,Veer Sidhanak - Kurla East,First Wallet Recharge,1
2176,953,100000,Abigale Cardoz ,2022-08-04 0:00:00,Eldeco Acclaim - Sector 2 ,First Wallet Recharge,1
