138808,1000,2
138647,1000,2
138601,1000,2
138600,1000,2
138594,1000,2
138569,1000,2
138541,1000,2
138527,1000,2
138513,1000,2
138450,1000,2
138447,1000,2
138408,1000,2
138359,1000,2
138207,1000,2
138173,1000,2
138169,1000,2
138161,1000,2
138153,1000,2
138114,1000,2
138099,1000,2
138076,1000,2
138071,1000,2
138066,1000,2
138064,1000,2
138034,1000,2
138011,1000,2
137980,1000,2
137906,1000,2
137902,1000,2
137870,1000,2
137854,1000,2
137851,1000,2
137832,1000,2
137792,1000,2
137749,1000,2
137724,1000,2
137706,1000,2
137703,1000,2
137701,1000,2
137681,1000,2
137623,1000,2
137573,1000,2
137525,1000,2
137498,1000,2
137437,1000,2
137427,1000,2
137417,1000,2
137342,1000,2
137279,1000,2
137235,1000,2
137209,1000,2
137208,1000,2
137193,1000,2
137186,1000,2
137172,1000,2
137134,1000,2
137124,1000,2
137117,1000,2
137111,1000,2
137095,1000,2
137079,1000,2
137032,1000,2
137029,1000,2
136955,1000,2
136947,1000,2
136946,1000,2
136945,1000,2
136938,1000,2
136929,1000,2
136927,1000,2
136878,1000,2
136857,1000,2
136835,1000,2
136813,1000,2
136811,1000,2
136805,1000,2
136753,1000,2
136738,1000,2
136737,1000,2
136584,1000,2
136546,1000,2
136510,1000,2
136476,1000,2
136375,1000,2
136292,1000,2
136278,1000,2
136231,1000,2
136137,1000,2
136096,1000,2
136095,1000,2
136092,1000,2
136011,1000,2
135998,1000,2
135987,1000,2
135985,1000,2
135967,1000,2
135943,1000,2
135911,1000,2
135899,1000,2
135841,1000,2
135831,1000,2
135732,1000,2
135655,1000,2
135637,1000,2
135636,1000,2
135635,1000,2
135622,1000,2
135540,1000,2
135501,1000,2
135286,1000,2
135285,1000,2
135192,1000,2
135190,1000,2
135153,1000,2
135149,1000,2
135144,1000,2
135122,1000,2
135096,1000,2
134964,1000,2
134956,1000,2
134955,1000,2
134908,1000,2
134873,1000,2
134751,1000,2
134736,1000,2
134698,1000,2
134667,1000,2
134663,1000,2
134662,1000,2
134586,1000,2
134577,1000,2
134557,1000,2
134553,1000,2
134533,1000,2
134509,1000,2
134508,1000,2
134414,1000,2
134395,1000,2
134337,1000,2
134247,1000,2
134246,1000,2
134245,1000,2
134243,1000,2
134240,1000,2
134239,1000,2
134237,1000,2
134236,1000,2
134219,1000,2
134194,1000,2
134183,1000,2
134182,1000,2
134139,1000,2
134134,1000,2
134129,1000,2
134122,1000,2
134118,1000,2
134089,1000,2
134088,1000,2
134050,1000,2
134026,1000,2
134003,1000,2
133992,1000,2
133956,1000,2
133937,1000,2
133921,1000,2
133857,1000,2
133721,1000,2
133713,1000,2
133638,1000,2
133605,1000,2
133588,1000,2
133578,1000,2
133473,1000,2
133471,1000,2
133456,1000,2
133451,1000,2
133446,1000,2
133438,1000,2
133435,1000,2
133432,1000,2
133429,1000,2
133419,1000,2
133395,1000,2
133374,1000,2
133296,1000,2
133280,1000,2
133264,1000,2
133201,1000,2
133192,1000,2
133173,1000,2
